Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,117.37,118.62,112.0,116.56,26614200.0,0.0,1.0,39.0660891852,39.4821461971,37.2787082623,38.7964842415,53228400.0
2000-01-04,113.56,117.12,112.25,112.62,27059500.0,0.0,1.0,37.7979474131,38.9828777828,37.3619196646,37.4850725402,54119000.0
2000-01-05,111.12,116.37,109.37,113.81,32029800.0,0.0,1.0,36.9858041259,38.7332435757,36.4033243093,37.8811588154,64059600.0
2000-01-06,112.19,113.87,108.37,110.0,27488300.0,0.0,1.0,37.3419489281,37.901129552,36.0704786998,36.6130170433,54976600.0
2000-01-07,108.62,112.25,107.31,111.44,31006800.0,0.0,1.0,36.1536901022,37.3619196646,35.7176623538,37.092314721,62013600.0
2000-01-10,113.44,113.69,111.37,112.25,22481800.0,0.0,1.0,37.7580059399,37.8412173423,37.0690155283,37.3619196646,44963600.0
2000-01-11,111.5,114.25,108.69,109.37,23371800.0,0.0,1.0,37.1122854575,38.0276108836,36.1769892949,36.4033243093,46743600.0
2000-01-12,108.5,108.87,104.44,105.81,33266200.0,0.0,1.0,36.1137486291,36.2369015046,34.7623954546,35.2183939396,66532400.0
2000-01-13,104.37,108.62,101.5,107.81,41572000.0,0.0,1.0,34.7390962619,36.1536901022,33.7838293627,35.8840851585,83144000.0
2000-01-14,107.19,113.94,105.75,112.25,36708200.0,0.0,1.0,35.6777208807,37.9244287447,35.198423203,37.3619196646,73416400.0
2000-01-18,111.81,116.5,111.75,115.31,40741800.0,0.0,1.0,37.2154675965,38.776513505,37.1954968599,38.3804272297,81483600.0
2000-01-19,110.5,111.5,106.0,107.0,48784100.0,0.0,1.0,36.779439848,37.1122854575,35.2816346054,35.6144802148,97568200.0
2000-01-20,107.06,109.69,105.87,106.0,28174900.0,0.0,1.0,35.6344509514,36.5098349044,35.2383646761,35.2816346054,56349800.0
2000-01-21,107.0,107.25,103.25,103.75,34208100.0,0.0,1.0,35.6144802148,35.6976916172,34.3663091793,34.532731984,68416200.0
2000-01-24,103.8,105.69,100.81,101.25,31798800.0,0.0,1.0,34.5493742645,35.1784524664,33.5541658921,33.7006179603,63597600.0
2000-01-25,101.0,103.87,99.56,102.81,29911600.0,0.0,1.0,33.6174065579,34.5726734572,33.1381088803,34.2198571111,59823200.0
2000-01-26,102.44,103.5,99.12,99.37,24682500.0,0.0,1.0,34.0967042356,34.4495205817,32.9916568121,33.0748682145,49365000.0
2000-01-27,99.89,101.19,97.25,98.75,31827400.0,0.0,1.0,33.2479479314,33.6806472237,32.3692355224,32.8685039366,63654800.0
2000-01-28,98.12,100.25,97.25,98.25,29112700.0,0.0,1.0,32.6588112026,33.3677723508,32.3692355224,32.7020811319,58225400.0
2000-01-31,97.62,98.19,94.87,97.87,36597100.0,0.0,1.0,32.4923883979,32.6821103953,31.5770629718,32.5755998003,73194200.0
2000-02-01,98.5,103.25,97.69,102.94,35098300.0,0.0,1.0,32.7852925342,34.3663091793,32.5156875905,34.2631270403,70196600.0
2000-02-02,102.44,103.94,100.5,100.81,24957800.0,0.0,1.0,34.0967042356,34.5959726498,33.4509837532,33.5541658921,49915600.0
2000-02-03,102.06,104.19,100.12,103.62,24593000.0,0.0,1.0,33.970222904,34.6791840522,33.3245024216,34.4894620548,49186000.0
2000-02-04,104.37,108.0,104.14,106.56,27682700.0,0.0,1.0,34.7390962619,35.9473258243,34.6625417717,35.4680281467,55365400.0
2000-02-07,106.81,106.87,104.25,106.62,20002900.0,0.0,1.0,35.551239549,35.5712102856,34.6991547888,35.4879988832,40005800.0
2000-02-08,106.44,110.0,106.44,109.94,28114500.0,0.0,1.0,35.4280866735,36.6130170433,35.4280866735,36.5930463067,56229000.0
2000-02-09,109.44,109.44,103.87,104.0,27545000.0,0.0,1.0,36.426623502,36.426623502,34.5726734572,34.6159433864,55090000.0
2000-02-10,103.89,106.56,102.5,106.0,27263900.0,0.0,1.0,34.5793303694,35.4680281467,34.1166749722,35.2816346054,54527800.0
2000-02-11,104.87,104.87,99.12,99.94,57779500.0,0.0,1.0,34.9055190666,34.9055190666,32.9916568121,33.2645902119,115559000.0
2000-02-14,101.23,101.75,99.06,99.62,40514300.0,0.0,1.0,33.6939610481,33.8670407651,32.9716860755,33.1580796169,81028600.0
2000-02-15,99.75,100.0,98.12,98.56,35513800.0,0.0,1.0,33.2013495461,33.2845609485,32.6588112026,32.8052632708,71027600.0
2000-02-16,99.25,100.19,97.12,97.62,32601300.0,0.0,1.0,33.0349267413,33.3478016143,32.3259655931,32.4923883979,65202600.0
2000-02-17,98.5,99.69,97.14,99.62,40171700.0,0.0,1.0,32.7852925342,33.1813788095,32.3326225053,33.1580796169,80343400.0
2000-02-18,100.0,100.06,94.87,95.06,39531500.0,0.0,1.0,33.2845609485,33.304531685,31.5770629718,31.6403036376,79063000.0
2000-02-22,95.12,97.12,92.81,93.81,33148100.0,0.0,1.0,31.6602743742,32.3259655931,30.8914010163,31.2242466257,66296200.0
2000-02-23,93.5,95.75,92.06,94.25,37923600.0,0.0,1.0,31.1210644868,31.8699671081,30.6417668091,31.3706986939,75847200.0
2000-02-24,94.25,95.87,92.0,94.75,34866600.0,0.0,1.0,31.3706986939,31.9099085813,30.6217960726,31.5371214987,69733200.0
2000-02-25,94.69,94.7,90.5,91.31,32650700.0,0.0,1.0,31.5171507621,31.5204792182,30.1225276584,30.392132602,65301400.0
2000-02-28,90.25,92.12,88.12,91.56,38065900.0,0.0,1.0,30.039316256,30.6617375457,29.3303551078,30.4753440044,76131800.0
2000-02-29,91.75,91.75,88.87,89.37,29218700.0,0.0,1.0,30.5385846702,30.5385846702,29.5799893149,29.7464121196,58437400.0
2000-03-01,89.62,94.09,88.94,90.81,53444900.0,0.0,1.0,29.829623522,31.3174433964,29.6032885076,30.2257097973,106889800.0
2000-03-02,91.81,95.37,91.12,93.37,53466300.0,0.0,1.0,30.5585554068,31.7434857765,30.3288919362,31.0777945576,106932600.0
2000-03-03,94.75,98.87,93.87,96.12,50717600.0,0.0,1.0,31.5371214987,32.9084454097,31.2442173623,31.9931199837,101435200.0
2000-03-06,96.0,97.37,90.12,90.62,46804700.0,0.0,1.0,31.9531785105,32.4091769955,29.9960463268,30.1624691315,93609400.0
2000-03-07,96.12,97.5,91.94,92.87,67530500.0,0.0,1.0,31.9931199837,32.4524469247,30.601825336,30.9113717528,135061000.0
2000-03-08,93.81,96.19,91.0,95.56,47145000.0,0.0,1.0,31.2242466257,32.0164191763,30.2889504631,31.8067264423,94290000.0
2000-03-09,95.31,100.0,95.0,100.0,44099400.0,0.0,1.0,31.72351504,33.2845609485,31.620332901,33.2845609485,88198800.0
2000-03-10,99.56,102.5,99.5,101.0,42794500.0,0.0,1.0,33.1381088803,34.1166749722,33.1181381437,33.6174065579,85589000.0
2000-03-13,97.62,100.25,97.5,98.0,30915900.0,0.0,1.0,32.4923883979,33.3677723508,32.4524469247,32.6188697295,61831800.0
2000-03-14,98.62,99.25,95.12,95.12,36744600.0,0.0,1.0,32.8252340074,33.0349267413,31.6602743742,31.6602743742,73489200.0
2000-03-15,94.56,96.62,93.69,95.37,26604000.0,0.0,1.0,31.4738808329,32.1595427884,31.1843051526,31.7434857765,53208000.0
2000-03-16,95.94,96.69,93.25,95.37,38650400.0,0.0,1.0,31.9332077739,32.1828419811,31.0378530844,31.7434857765,77300800.0
2000-03-17,95.25,99.5,94.5,99.37,40580800.0,0.0,1.0,31.7035443034,33.1181381437,31.4539100963,33.0748682145,81161600.0
2000-03-20,98.75,99.75,96.5,97.37,23886500.0,0.0,1.0,32.8685039366,33.2013495461,32.1196013153,32.4091769955,47773000.0
2000-03-21,96.75,103.12,96.5,102.75,40824400.0,0.0,1.0,32.2028127176,34.32303925,32.1196013153,34.1998863745,81648800.0
2000-03-22,102.81,105.62,101.12,103.25,46987900.0,0.0,1.0,34.2198571111,35.1551532738,33.6573480311,34.3663091793,93975800.0
2000-03-23,106.81,112.87,106.62,111.87,74112000.0,0.0,1.0,35.551239549,37.5682839425,35.4879988832,37.235438333,148224000.0
2000-03-24,112.62,115.0,109.56,111.69,56098400.0,0.0,1.0,37.4850725402,38.2772450907,36.4665649751,37.1755261233,112196800.0
2000-03-27,107.77,108.25,103.94,104.06,55717000.0,0.0,1.0,35.8707713342,36.0305372267,34.5959726498,34.635914123,111434000.0
2000-03-28,103.62,107.44,102.37,104.31,40557200.0,0.0,1.0,34.4894620548,35.760932283,34.0734050429,34.7191255253,81114400.0
2000-03-29,105.19,108.94,105.12,107.19,32181900.0,0.0,1.0,35.0120296617,36.2602006972,34.988730469,35.6777208807,64363800.0
2000-03-30,106.19,108.62,102.5,103.37,32089200.0,0.0,1.0,35.3448752712,36.1536901022,34.1166749722,34.4062506524,64178400.0
2000-03-31,106.0,108.25,104.12,106.25,32140700.0,0.0,1.0,35.2816346054,36.0305372267,34.6558848595,35.3648460077,64281400.0
2000-04-03,94.44,96.5,90.0,90.87,130059100.0,0.0,1.0,31.4339393597,32.1196013153,29.9561048536,30.2456805339,260118200.0
2000-04-04,91.56,92.0,84.94,88.56,90622200.0,0.0,1.0,30.4753440044,30.6217960726,28.2719060696,29.476807176,181244400.0
2000-04-05,88.25,88.5,85.87,86.37,41443800.0,0.0,1.0,29.373625037,29.4568364394,28.5814524864,28.7478752912,82887600.0
2000-04-06,87.87,88.0,85.27,86.0,33210700.0,0.0,1.0,29.2471437054,29.2904136346,28.3817451207,28.6247224157,66421400.0
2000-04-07,87.0,89.37,85.0,89.06,41306800.0,0.0,1.0,28.9575680252,29.7464121196,28.2918768062,29.6432299807,82613600.0
2000-04-10,88.62,88.62,86.0,86.06,30342700.0,0.0,1.0,29.4967779125,29.4967779125,28.6247224157,28.6446931522,60685400.0
2000-04-11,85.12,86.06,83.5,83.87,35980900.0,0.0,1.0,28.3318182793,28.6446931522,27.792608392,27.9157612675,71961800.0
